sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
406BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	119	1	TP	BF2+BR1	yes	3	apassa	2	406BF2
431BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	NA	85	0	TP	BF2+BR1	yes	3	bale	2	431BF2
432BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	female	74	0	TP	BF2+BR1	yes	3	bale	2	432BF2
438BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	42	NA	TP	BF2+BR1	yes	3	bale	2	438BF2
454BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	juvenile	70	NA	TP	BF2+BR1	yes	3	bale	2	454BF2
217BF2	Paramormyrops	P. offouensis below_falls	P. offouensis BP	P. offouensis	2019-015	below_falls	male	NA	0	BP	BF2+BR1	yes	3	below_falls	2	217BF2
473BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	male	101	0	BP	BF2+BR1	yes	3	bale	2	473BF2
475BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	49	0	TP	BF2+BR1	yes	3	bale	2	475BF2
502BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	NA	125	0	TP	BF2+BR1	yes	3	bale	2	502BF2
515BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	54	NA	BP	BF2+BR1	yes	3	bale	2	515BF2
521BF2	Paramormyrops	P. VAD bale	P. VAD TP	P. VAD	2019-029	bale	male	100	NA	TP	BF2+BR1	yes	3	bale	2	521BF2
525BF2	Paramormyrops	P. teugelsi bale	P. teugelsi BP	P. teugelsi	2019-029	bale	juvenile	20	NA	BP	BF2+BR1	yes	3	bale	2	525BF2
505BF2	Paramormyrops	P. hopkinsi bale	P. hopkinsi BP	P. hopkinsi	2019-026	bale	NA	72	0	BP	BF2+BR1	yes	3	bale	2	505BF2
223BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	98	0	BP	BF2+BR1	yes	3	bambomo	2	223BF2
106BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	105	0	TP	BF2+BR1	yes	3	iboundji	2	106BF2
472BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	male	208	0	BP	BF2+BR1	yes	3	bale	2	472BF2
524BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-029	bale	juvenile	46	NA	TP	BF2+BR1	yes	3	bale	2	524BF2
484BF2	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	36	0	TP	BF2+BR1	yes	3	bale	2	484BF2
440BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	male	59	NA	BP	BF2+BR1	yes	3	bale	2	440BF2
259BF2	Mormyrops	Mormyrops zanchlirostris below_falls	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-015	below_falls	male	230	0	BP	BF2+BR1	no	3	below_falls	2	259BF2
457BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	juvenile	70	0	TP	BF2+BR1	yes	3	bale	2	457BF2
463BF2	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	male	58	NA	TP	BF2+BR1	yes	3	bale	2	463BF2
510BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	juvenile	69	NA	TP	BF2+BR1	yes	3	bale	2	510BF2
464BF2	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	NA	68	NA	TP	BF2+BR1	yes	3	bale	2	464BF2
62BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	84	0	TP	BF2+BR1	yes	3	iboundji	2	62BF2
151BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	93	0	BP	BF2+BR1	no	3	bambomo	2	151BF2
261BF2	Mormyrops	Mormyrops zanchlirostris bengue	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-020	bengue	male	99	0	BP	BF2+BR1	yes	3	bengue	2	261BF2
256BF2	Ivindomyrus	Ivindomyrus marchei below_falls	Ivindomyrus marchei BP	Ivindomyrus marchei	2019-015	below_falls	male	142	0	BP	BF2+BR1	no	3	below_falls	2	256BF2
241BF2	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	250	NA	BP	BF2+BR1	yes	3	above_falls	2	241BF2
527BF2	Paramormyrops	P. tenuicauda bale	P. tenuicauda BP	P. tenuicauda	2019-029	bale	juvenile	20	NA	BP	BF2+BR1	yes	3	bale	2	527BF2
47BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	96	0	BP	BF2+BR1	yes	3	mengono	2	47BF2
