sampleid	genus	species_river	species_waveform	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical categorical numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
521	Paramormyrops	P. VAD bale	P. VAD TP	P. VAD	2019-029	bale	male	100	NA	TP	mlCOIintF+BR2	yes	1	bale	2	521
525	Paramormyrops	P. teugelsi bale	P. teugelsi BP	P. teugelsi	2019-029	bale	juvenile	NA	NA	BP	mlCOIintF+BR2	yes	1	bale	2	525
505	Paramormyrops	P. hopkinsi bale	P. hopkinsi BP	P. hopkinsi	2019-026	bale	NA	72	0	BP	mlCOIintF+BR2	yes	1	bale	2	505
12	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	117	0	BP	mlCOIintF+BR2	no	1	mengono	2	12
48	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	103	2	BP	mlCOIintF+BR2	re-do	1	mengono	2	48
49	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	72	3	BP	mlCOIintF+BR2	re-do	1	mengono	2	49
106	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	105	0	TP	mlCOIintF+BR2	re-do	1	iboundji	2	106
116	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	100	0	BP	mlCOIintF+BR2	no	1	mengono	2	116
123	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	80	0	TP	mlCOIintF+BR2	no	1	iboundji	2	123
125	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	117	0	TP	mlCOIintF+BR2	no	1	iboundji	2	125
127	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	100	0	TP	mlCOIintF+BR2	no	1	iboundji	2	127
130	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	74	0	BP	mlCOIintF+BR2	no	1	mengono	2	130
154	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	78	0	BP	mlCOIintF+BR2	no	1	bambomo	2	154
244	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	260	0	BP	mlCOIintF+BR2	no	1	above_falls	2	244
248	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	100	0	BP	mlCOIintF+BR2	re-do	1	bambomo	2	248
275	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	100	0	TP	mlCOIintF+BR2	no	1	apassa	2	275
313	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	female	86	0	BP	mlCOIintF+BR2	re-do	1	bambomo	2	313
364	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	79	0	BP	mlCOIintF+BR2	re-do	1	bambomo	2	364
367	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	69	0	BP	mlCOIintF+BR2	re-do	1	bambomo	2	367
369	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	75	0	BP	mlCOIintF+BR2	re-do	1	bambomo	2	369
418	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	juvenile	61	1	TP	mlCOIintF+BR2	re-do	1	apassa	2	418
428	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	female	160	NA	BP	mlCOIintF+BR2	re-do	1	bale	2	428
436	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	female	110	NA	BP	mlCOIintF+BR2	no	1	bale	2	436
443	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	53	NA	BP	mlCOIintF+BR2	re-do	1	bale	2	443
456	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	78	0	TP	mlCOIintF+BR2	re-do	1	bale	2	456
460	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	juvenile	49	0	TP	mlCOIintF+BR2	re-do	1	bale	2	460
462	Paramormyrops	P. tenuicauda bale	P. tenuicauda BP	P. tenuicauda	2019-026	bale	juvenile	51	NA	BP	mlCOIintF+BR2	re-do	1	bale	2	462
508	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	female	177	NA	BP	mlCOIintF+BR2	re-do	1	bale	2	508
510	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	juvenile	69	NA	TP	mlCOIintF+BR2	re-do	1	bale	2	510
512	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	73	NA	BP	mlCOIintF+BR2	re-do	1	bale	2	512
546	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	Male	88	NA	TP	mlCOIintF+BR2	no	1	bale	2	546
47	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	96	0	BP	mlCOIintF+BR2	yes	1	mengono	2	47
97	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	136	0	TP	mlCOIintF+BR2	no	1	iboundji	2	97
220	Marcusenius	Marcusenius moori below_falls	Marcusenius moori BP	Marcusenius moori	2019-015	below_falls	male	182	0	BP	mlCOIintF+BR2	no	1	below_falls	2	220
234	Paramormyrops	P. SN2 below_falls	P. SN2 BP	P. SN2	2019-015	below_falls	female	NA	0	BP	mlCOIintF+BR2	no	1	below_falls	2	234
241	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	250	0	BP	mlCOIintF+BR2	yes	1	above_falls	2	241
311	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	male	106	0	BP	mlCOIintF+BR2	yes	1	bambomo	2	311
407	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	79	0	TP	mlCOIintF+BR2	yes	2	apassa	2	407
